CODIGO,NOME,TITULO,GRAUDEPROTECAO,DESCRICAO,RENDIMENTO100,RENDIMENTO50,RENDIMENTO75,MOMENTOINERCIA,CONJUGADOROTORBLOQUEADO,CORRENTEROTORBLOQUEADO,CONJUGADOMAXIMO,NIVELRUIDO,CONJUGADONOMINAL,NUMERODEPOLOS,FATORPOTENCIA100,FATORPOTENCIA50,FATORPOTENCIA75,POTENCIALNOMINAL,TEMPOROTORBLOQUEADO,RPM,RPMASSINCRONO,FATORSERVICO,COD_CARCACA,COD_CLASSEMOTOR,COD_FABRICANTE,PESO,CORRENTE_VAZIO,TENSAO,CORRENTENOMINAL
2670,•W1100•,•W1100•,•IP55•,•W1100•,93.2,92.1,93,413,43467,442.2,43557,62,43514,,0.84,0.71,0.8,30,23,1200,1175,1.15,13,2,2,232,0,•220/380/440•,•73.7/42.52/36.85•
2671,•W1101•,•W1101•,•IP55•,•W1101•,92.5,91.5,92,413,43467,456.6,43498,62,182809,,0.82,0.7,0.78,30,27,1200,1175,1.15,13,2,2,232,0,•220/380/440•,•76.1/43.9/38.05•
2672,•W1102•,•W1102•,•IP55•,•W1102•,92.5,91.5,92,41258,43467,456.6,43498,62,43514,,0.82,0.7,0.78,30,20,1200,1175,1.15,13,2,2,237,0,•220/380/440•,•76.1/43.9/38.05•
2673,•W1103•,•W1103•,•IP55•,•W1103•,93,92.5,93,98842,2,438,43557,65,43514,,0.85,0.74,0.82,30,30,1200,1180,1.15,15,2,2,367,0,•220/380/440•,•73/42.12/36.5•
2674,•W1104•,•W1104•,•IP55•,•W1104•,93,92.2,92.4,36856,43467,,43587,62,182258,6,0.81,0.65,0.76,30,14,1200,1175,1.15,13,2,2,227,0,•220/380/440•,•76.60/44.35/38.30•
2675,•W1105•,•W1105•,•IP55•,•W1105•,93.6,93,93.6,133404,43526,,43679,60,43514,6,0.81,0.63,0.75,30,11,1200,1180,1.25,13,3,2,485,0,•220/380/440•,•76.4/44.2/38.2•
2676,•W1106•,•W1106•,•IP54•,•W1106•,89.4,87.6,89.2,854,43679,608,3,64,43548,,0.81,0.65,0.74,30,9,900,885,1,15,1,2,330,0,•220/380/440•,•80/46.16/40•
2677,•W1107•,•W1107•,•IP55•,•W1107•,89.4,87.6,89.2,847,43498,598.88,43557,60,43579,,0.82,0.65,0.74,30,16,900,880,1,15,1,2,341,0,•220/380/440•,•78.8/45.46/39.4•
2678,•W1108•,•W1108•,•IP55•,•W1108•,90.2,88.5,89.5,847,43498,616.8,43679,60,244091,,0.83,0.68,0.78,30,16,900,880,1,15,1,2,341,0,•220/380/440•,•77.1/44.48/38.55•
2679,•W1109•,•W1109•,•IP55•,•W1109•,91,89,90.4,84722,43498,611.2,43679,60,43579,,0.83,0.68,0.78,30,21,900,880,1,15,1,2,343,0,•220/380/440•,•76.4/44.08/38.2•
2680,•W1110•,•W1110•,•IP55•,•W1110•,91,89,90.4,84722,43498,611.2,43679,60,43579,,0.83,0.68,0.78,30,21,900,880,1,15,1,2,367,0,•220/380/440•,•76.4/44.08/38.2•
2681,•W1111•,•W1111•,•IP55•,•W1111•,89,83,88,1.14,43556,,43679,,243356,8,0.85,0.75,0.8,30,12,900,880,1,16,1,2,420,0,•220/380/440•,•130.00/75.26/65.00•
2682,•W1112•,•W1112•,•IP55•,•W1112•,88.4,85,87,8538,2,,43587,,241981,8,0.78,0.62,0.73,30,,900,885,1,15,1,2,,0,•220/380/440•,•84.00/48.63/42.00•
2683,•W1113•,•W1113•,•IP55•,•W1113•,91,89,90.4,84722,43498,,43679,,243356,8,0.83,0.68,0.78,30,21,900,880,1,15,1,2,,0,•220/380/440•,•76.40/44.23/38.20•
2684,•W1114•,•W1114•,•IP55•,•W1114•,91,90.2,91,84722,43498,,43679,60,243356,8,0.83,0.68,0.78,30,21,900,880,1.15,15,1,2,338.1,0,•220/380/440•,•76.40/44.23/38.20•
2685,•W1115•,•W1115•,•IP54•,•W1115•,93,91.8,92.8,854,43467,600,43679,64,24,,0.83,0.67,0.78,30,9,900,885,,15,2,2,330,0,•220/380/440•,•75/43.27/37.5•
2686,•W1116•,•W1116•,•IP55•,•W1116•,93,91.8,92.8,847,43498,583.44,3,60,43520,,0.83,0.67,0.78,30,11,900,885,1.15,15,2,2,330,0,•220/380/440•,•74.8/43.15/37.4•
2687,•W1117•,•W1117•,•IP55•,•W1117•,91,89.5,90.5,847,2,595.92,43648,60,242712,,0.83,0.63,0.75,30,16,900,885,1.15,15,2,2,341,0,•220/380/440•,•76.4/44.08/38.2•
2688,•W1118•,•W1118•,•IP55•,•W1118•,91.7,90.2,91,84722,2,592.02,43648,60,43520,,0.83,0.64,0.76,30,18,900,885,1.15,15,2,2,343,0,•220/380/440•,•75.9/43.79/37.95•
2689,•W1119•,•W1119•,•IP55•,•W1119•,91.7,91.7,91.9,61834,43709,,43587,60,241981,8,0.81,0.65,0.76,30,12,900,885,1.15,15,2,2,354,0,•220/380/440•,•77.80/45.04/38.90•
2690,•W1120•,•W1120•,•IP55•,•W1120•,92.4,92.4,92.8,450378,43678,,43587,84,43520,8,0.81,0.65,0.76,30,26,900,885,1.15,15,3,2,1605,0,•220/380/440•,•77.42/44.82/38.71•
2691,•W1121•,•W1121•,•IP54•,•W1121•,91,87,90,166,43558,756.6,3,82,43563,,0.88,0.82,0.85,40,8,3600,3560,1.15,27,1,2,192,0,•220/380/440•,•97/55.96/48.5•
2692,•W1122•,•W1122•,•IP55•,•W1122•,90.4,88.5,90,0.17,3,772.2,43710,79,8.21,,0.88,0.81,0.86,40,11,3600,3560,1.15,27,1,2,213,0,•220/380/440•,•99/57.12/49.5•
2693,•W1123•,•W1123•,•IP55•,•W1123•,90.4,88.5,90,0.17,43710,712.8,43710,79,-488115,,0.88,0.8,0.86,40,11,3600,3555,1.15,27,1,2,213,0,•220/380/440•,•99/57.12/49.5•
